scenario,throughput_mean,throughput_std,lead_time_mean,lead_time_std,bottleneck_machine,bottleneck_utilization,implementation_cost,operational_cost,Cutting_capacity,Drilling_capacity,Assembly_capacity,Painting_capacity,total_capacity,config_id
config_0,11.9375,2.1875,170.8148952247564,35.00597216920988,Cutting,0.8972178848459299,0,5317.591534608113,1,1,2,1,5,0
config_1,11.1875,0.1875,166.28526255630254,3.2690089298440483,Drilling,0.9631407899471162,100,5595.876498145561,1,1,2,2,6,1
config_2,10.375,2.625,150.38635856027835,17.54744778216397,Cutting,0.9059493940678627,200,5650.23214224121,1,1,2,3,7,2
config_3,12.5,1.125,158.08973618731085,24.869828810723078,Drilling,0.9335554630017922,100,5030.311279817382,1,1,3,1,6,3
config_4,11.375,0.375,175.54513756691455,2.6169592568873696,Drilling,0.9600432419786995,200,5846.12185580908,1,1,3,2,7,4
config_5,14.4375,0.4375,140.63940711721244,12.143490909557258,Drilling,0.9800887449088415,300,4628.720202445002,1,1,3,3,8,5
config_6,10.3125,2.5625,137.2061591016169,6.7677990723097,Cutting,0.9639585387383718,200,5618.393784402751,1,1,4,1,7,6
config_7,11.875,0.625,172.56518251564006,13.980474179471372,Cutting,0.9468059770442885,300,5566.107591229025,1,1,4,2,8,7
config_9,14.1875,3.0625,129.92729874275776,7.953084742608517,Cutting,0.8609628309021908,100,4764.125401862862,1,2,2,1,6,9
config_10,17.0,2.875,126.98313006290002,4.741025222833606,Cutting,0.8294825858151398,200,4764.934952766622,1,2,2,2,7,10
config_11,13.875,1.625,152.97646607172408,5.7049704787410604,Cutting,0.8599463492338184,300,7723.476152321345,1,2,2,3,8,11
config_12,17.3125,1.4375,121.0332825549344,3.40542642930604,Cutting,0.9086846276015332,200,5001.299503283105,1,2,3,1,7,12
config_13,14.8125,3.4375,138.92881351756935,23.866875001774496,Cutting,0.8214101497192323,300,5185.85869278767,1,2,3,2,8,13
config_15,14.125,2.5,111.26828770281786,13.334811736310044,Cutting,0.8183366445138357,300,5240.662769192371,1,2,4,1,8,15
config_18,16.25,0.375,134.27325689769356,14.657462624648083,Cutting,0.9216923057121899,200,4719.1250242351,1,3,2,1,7,18
config_19,16.5625,0.0625,125.36604244232264,4.422842659835865,Cutting,0.9437117648193849,300,5099.850062366877,1,3,2,2,8,19
config_21,18.3125,1.8125,97.898941102844,6.963283341461619,Cutting,0.9792204334485566,300,4870.515452998261,1,3,3,1,8,21
config_27,10.9375,0.5625,168.137575020493,6.799377687043588,Drilling,0.8815406647903143,100,5402.977962566938,2,1,2,1,6,27
config_28,12.5,0.125,164.15526462329552,6.3685506222971355,Drilling,0.9844113568497148,200,4662.9387797897725,2,1,2,2,7,28
config_29,13.4375,1.0625,135.852226166056,5.045435278753132,Drilling,0.9636280062205365,300,5814.469586182005,2,1,2,3,8,29
config_30,11.0,1.375,174.78736124265828,2.029222022345195,Drilling,0.9850102976278599,200,6781.418447809389,2,1,3,1,7,30
config_31,12.1875,0.5625,144.53574604362092,2.1376977351467303,Drilling,0.9790539480184524,300,5098.198458541978,2,1,3,2,8,31
config_33,13.75,1.5,164.82534730494098,3.9223784571366167,Drilling,0.9822326140532156,300,5295.173299256203,2,1,4,1,8,33
config_36,17.375,0.75,107.14768593339433,15.458681781619049,Assembly,0.8833089573171158,200,3645.371173946667,2,2,2,1,7,36
config_37,18.5625,2.1875,100.08242835617503,3.60193338403694,Drilling,0.9398836647345808,300,3753.124829538299,2,2,2,2,8,37
config_39,17.875,1.125,103.7270176769126,35.50188534053242,Drilling,0.7880241227451592,300,4191.4333963682275,2,2,3,1,8,39
config_45,17.5,0.125,126.28005474970982,12.308660353382436,Assembly,0.9439052393348881,300,6330.733513279967,2,3,2,1,8,45
config_54,12.0,0.625,178.16377789177062,20.710589465943414,Drilling,0.9427690930602006,200,5081.329518628143,3,1,2,1,7,54
config_55,12.5625,1.9375,161.6384272070282,21.64430502391835,Drilling,0.9159848662169561,300,5369.335133400218,3,1,2,2,8,55
config_57,11.4375,0.5625,172.40921416843295,12.323763882617897,Drilling,0.9653372685960979,300,6007.432421891877,3,1,3,1,8,57
config_63,17.0,1.625,129.0891574822586,16.876115701499558,Assembly,0.9514276806598723,300,4930.3550815530425,3,2,2,1,8,63
